Solicitud;Nombre_Ini;Codigo_Bip;Anio_Presu;Etapa;Latitud;Longitud;Institucio;Instituc_1;Tipo_Insti;Tipo_Ins_1;Costo_Tota;Costo_To_1;Costo_To_2;Dimensione;Subdimensi;Estado;Region;comuna;RATE;LUMINARIAS;UV_RECOLET;REV_FUENTE
19698774;CONSTRUCCION PARQUE DIAGONAL GABRIELA, LA PINTANA;30393273-0;2017;EJECUCION;-33,58712415;-70,63265827;Municipalidad De La Pintana;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;4854046;181,13;7889,94;Equipamiento;Áreas verdes;Sin Información;REGIÓN METROPOLITANA DE SANTIAGO;LA PINTANA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
20172264;REPOSICION LUMINARIAS PÚBLICAS  SECTOR CUATRO-A, SANTIAGO;30453822-0;2018;EJECUCION;-33,43853895;-70,63823785;Municipalidad De Santiago;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;3267972;118,55;4697,45;Seguridad;Estructura de seguridad;Construido;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;Recomendación Favorable, recomendado sin observaciones.;0;;KMZ
22923968;REPOSICION DE ÁREA VERDE PLAZA LAS TRES AMÉRICAS, SAN RAMÓN;30483435-0;2022;EJECUCION;-33,53117712;-70,63852573;Municipalidad De San Ramon;Servicio Vivienda Y Urbanizacion Región Metropolitana De Santiago;Municipalidad;Ministerial / Sectorial;780724;22,24;908,34;Equipamiento;Áreas verdes;Sin Información;REGIÓN METROPOLITANA DE SANTIAGO;SAN RAMÓN;Falta Información, antecedentes presentados no justifican la iniciativa.;0;;SHP ÁREAS VERDES
22784678;CONSTRUCCION ESPACIO PUBLICO EJE GABRIELA COMUNA DE LA PINTANA;30483518-0;2022;DISEÑO;-33,58506997;-70,64495184;Municipalidad De La Pintana;Servicio Vivienda Y Urbanizacion Región Metropolitana De Santiago;Municipalidad;Ministerial / Sectorial;69948;1,99;81,38;Movilidad;Vía peatonal;Sin Información;REGIÓN METROPOLITANA DE SANTIAGO;LA PINTANA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
22894407;MEJORAMIENTO ESPACIO PUBLICO, PARQUE CAMPUS, COMUNA MACUL;30486066-0;2022;EJECUCION;-33,49932793;-70,60557547;Municipalidad De Macul;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;645534;18,39;751,05;Movilidad;Vía peatonal;Construido;REGIÓN METROPOLITANA DE SANTIAGO;MACUL;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
22824545;MEJORAMIENTO DEL ESPACIO PUBLICO PARQUE CASTILLO URIZAR, COMUNA DE MACUL;40010967-0;2022;EJECUCION;-33,48094796;-70,60957422;Municipalidad De Macul;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;2282638;65,01;2655,74;Movilidad;Vía peatonal;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;MACUL;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
22009289;MEJORAMIENTO PLAZA 12 DE OCTUBRE, COMUNA DE SAN MIGUEL;40013367-0;2021;DISEÑO;-33,48880161;-70,6544161;Municipalidad De San Miguel;Servicio Vivienda Y Urbanizacion Región Metropolitana De Santiago;Municipalidad;Ministerial / Sectorial;35788;1,15;42,09;Equipamiento;Áreas verdes;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;SAN MIGUEL;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
22842331;MEJORAMIENTO PLAZA DON CLAUDIO MATTE PEREZ BARRIO MATADERO FRANKLIN COMUNA DE SANTIAGO;40014683-0;2022;EJECUCION;-33,47498867;-70,64882221;Seremi Vivienda Región Metropolitana De Santiago;Servicio Vivienda Y Urbanizacion Región Metropolitana De Santiago;Ministerial / Sectorial;Ministerial / Sectorial;1135574;32,34;1321,19;Equipamiento;Áreas verdes;Construido;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
21180759;MEJORAMIENTO Y REMODELACION PARQUE ALMAGRO COMUNA DE SANTIAGO;40017795-0;2019;DISEÑO;-33,45204472;-70,65364717;Municipalidad De Santiago;Municipalidad De Santiago;Municipalidad;Municipalidad;25000;0,88;33,57;Equipamiento;Áreas verdes;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;Falta Información, antecedentes presentados no justifican la iniciativa.;0;;SHP ÁREAS VERDES
22819214;MEJORAMIENTO PLAZAS PARA EL FORTALECIMIENTO DE LA IDENTIDAD BARRIAL UUVV 13, 17 Y 18, MACUL;40023151-0;2022;EJECUCION;-33,50541218;-70,60994931;Municipalidad De Macul;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;3864583;110,07;4496,26;Equipamiento;Áreas verdes;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;MACUL;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
22957111;MEJORAMIENTO PARQUE BUSTAMANTE, PROVIDENCIA;40038092-0;2022;EJECUCION;-33,43984451;-70,63209028;Municipalidad De Providencia;Subsecretaria Desarrollo Regional Y Administrativo;Municipalidad;Ministerial / Sectorial;2824979;80,46;3286,73;Equipamiento;Áreas verdes;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;PROVIDENCIA;Falta Información, antecedentes presentados no justifican la iniciativa.;0;;SHP ÁREAS VERDES
23077315;MEJORAMIENTO INTEGRAL AREAS VERDES AMIGABLES LA PINTANA;40040674-0;2022;EJECUCION;-33,56299891;-70,63636803;Municipalidad De La Pintana;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;3118164;88,81;3627,84;Equipamiento;Áreas verdes;Sin Información;REGIÓN METROPOLITANA DE SANTIAGO;LA PINTANA;Falta Información, antecedentes presentados no justifican la iniciativa.;0;;SHP ÁREAS VERDES
20158687;REPOSICION ALUMBRADO PÚBLICO, COMUNA DE RECOLETA;30480819-0;2018;EJECUCION;-33,40160583;-70,64340135;Municipalidad De Recoleta;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;5285877;191,75;7598,04;Seguridad;Estructura de seguridad;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;RECOLETA;Falta Información, antecedentes presentados no justifican la iniciativa.;655;13127-35;UV MIDESOyF
20158687;REPOSICION ALUMBRADO PÚBLICO, COMUNA DE RECOLETA;30480819-0;2018;EJECUCION;-33,40160583;-70,64340135;Municipalidad De Recoleta;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;5285877;191,75;7598,04;Seguridad;Estructura de seguridad;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;RECOLETA;Falta Información, antecedentes presentados no justifican la iniciativa.;374;13127-34;UV MIDESOyF
20158687;REPOSICION ALUMBRADO PÚBLICO, COMUNA DE RECOLETA;30480819-0;2018;EJECUCION;-33,40160583;-70,64340135;Municipalidad De Recoleta;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;5285877;191,75;7598,04;Seguridad;Estructura de seguridad;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;RECOLETA;Falta Información, antecedentes presentados no justifican la iniciativa.;675;13127-32;UV MIDESOyF
20158687;REPOSICION ALUMBRADO PÚBLICO, COMUNA DE RECOLETA;30480819-0;2018;EJECUCION;-33,40160583;-70,64340135;Municipalidad De Recoleta;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;5285877;191,75;7598,04;Seguridad;Estructura de seguridad;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;RECOLETA;Falta Información, antecedentes presentados no justifican la iniciativa.;394;13127-33;UV MIDESOyF
20158687;REPOSICION ALUMBRADO PÚBLICO, COMUNA DE RECOLETA;30480819-0;2018;EJECUCION;-33,40160583;-70,64340135;Municipalidad De Recoleta;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;5285877;191,75;7598,04;Seguridad;Estructura de seguridad;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;RECOLETA;Falta Información, antecedentes presentados no justifican la iniciativa.;408;13127-31;UV MIDESOyF
18175441;REPOSICION LUMINARIAS PÚBLICAS COMUNA DE SANTIAGO ETAPA 2;30102313-0;2014;EJECUCION;-70,65608024;-33,46055389;Municipalidad De Santiago;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;2561583;104,01;4217,43;Seguridad;Estructura de seguridad;Construido;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;Recomendación Favorable, recomendado sin observaciones.;0;;KMZ
